panel,split,observed_affine_screen,min_half_span,outcome,median_half_span_a,median_half_span_b,covariance_jackknife_se,covariance_delete_one_min,covariance_delete_one_max,n,mean_a,mean_b,var_a,var_b,covariance,correlation,difference_sd,difference_rmse,average_variance,difference_variance_over_four
random_mid,question_parity,False,10000,taxguessmain,111536,109700,0.00131768901872,0.0208605987138,0.02143228306,4196,-0.0366446102433,-0.0373220608842,0.0344958403056,0.0358319489419,0.0211928812132,0.60279747472,0.167158687543,0.167140140466,0.0281783879184,0.00698550670528
random_mid,question_parity,False,10000,taxguessds,111536,109700,0.725822883787,-0.0874888035647,0.743887904125,4196,-0.0102931113074,-0.0323191550084,2.33738596279,4.15917491185,0.629223660125,0.2018070047,2.28869254257,2.28852580108,1.93875204872,1.3095283886
random_full,income_interleaved,False,0,taxguessmain,354955,408289,0.00124078853266,0.023694850646,0.024328345449,4197,-0.0974382235043,-0.116149542126,0.0317661982236,0.0325383677582,0.0242469276876,0.754182090029,0.125740648188,0.127110412263,0.0281996053392,0.00395267765168
random_full,income_interleaved,False,0,taxguessds,354955,408289,0.0249118069423,0.00337742572208,0.0298312319522,4197,-0.0999827245177,-0.0953125682025,0.121296102778,0.494404039745,0.00535898797786,0.0218835791322,0.777805995456,0.777727349778,0.15660452962,0.151245541642
random_full,income_interleaved,False,1000,taxguessmain,354955,408289,0.00124078853266,0.023694850646,0.024328345449,4197,-0.0974382235043,-0.116149542126,0.0317661982236,0.0325383677582,0.0242469276876,0.754182090029,0.125740648188,0.127110412263,0.0281996053392,0.00395267765168
random_full,income_interleaved,False,1000,taxguessds,354955,408289,0.0249118069423,0.00337742572208,0.0298312319522,4197,-0.0999827245177,-0.0953125682025,0.121296102778,0.494404039745,0.00535898797786,0.0218835791322,0.777805995456,0.777727349778,0.15660452962,0.151245541642
random_full,income_interleaved,False,5000,taxguessmain,354955,408289,0.00124078853266,0.023694850646,0.024328345449,4197,-0.0974382235043,-0.116149542126,0.0317661982236,0.0325383677582,0.0242469276876,0.754182090029,0.125740648188,0.127110412263,0.0281996053392,0.00395267765168
random_full,income_interleaved,False,5000,taxguessds,354955,408289,0.0249118069423,0.00337742572208,0.0298312319522,4197,-0.0999827245177,-0.0953125682025,0.121296102778,0.494404039745,0.00535898797786,0.0218835791322,0.777805995456,0.777727349778,0.15660452962,0.151245541642
random_full,income_interleaved,False,10000,taxguessmain,354955,408289,0.00124078853266,0.023694850646,0.024328345449,4197,-0.0974382235043,-0.116149542126,0.0317661982236,0.0325383677582,0.0242469276876,0.754182090029,0.125740648188,0.127110412263,0.0281996053392,0.00395267765168
random_full,income_interleaved,False,10000,taxguessds,354955,408289,0.0249118069423,0.00337742572208,0.0298312319522,4197,-0.0999827245177,-0.0953125682025,0.121296102778,0.494404039745,0.00535898797786,0.0218835791322,0.777805995456,0.777727349778,0.15660452962,0.151245541642
random_full,question_parity,False,0,taxguessmain,366596,367666,0.00117586580275,0.023780724982,0.0242208334523,4197,-0.106827975143,-0.106137994229,0.0310655095576,0.033122378187,0.0241432737899,0.752655366978,0.126100516116,0.126087380411,0.0281186088311,0.00397533504119
random_full,question_parity,False,0,taxguessds,366596,367666,0.0355732973381,-0.00492090336474,0.043158997519,4197,-0.101830698603,-0.102736260337,0.230083633179,0.698382091239,0.0137015978408,0.0341807671635,0.949243134679,0.949130474028,0.238967230025,0.225265632184
random_full,question_parity,False,1000,taxguessmain,366596,367666,0.00117586580275,0.023780724982,0.0242208334523,4197,-0.106827975143,-0.106137994229,0.0310655095576,0.033122378187,0.0241432737899,0.752655366978,0.126100516116,0.126087380411,0.0281186088311,0.00397533504119
random_full,question_parity,False,1000,taxguessds,366596,367666,0.0355732973381,-0.00492090336474,0.043158997519,4197,-0.101830698603,-0.102736260337,0.230083633179,0.698382091239,0.0137015978408,0.0341807671635,0.949243134679,0.949130474028,0.238967230025,0.225265632184
random_full,question_parity,False,5000,taxguessmain,366596,367666,0.00117586580275,0.023780724982,0.0242208334523,4197,-0.106827975143,-0.106137994229,0.0310655095576,0.033122378187,0.0241432737899,0.752655366978,0.126100516116,0.126087380411,0.0281186088311,0.00397533504119
random_full,question_parity,False,5000,taxguessds,366596,367666,0.0355732973381,-0.00492090336474,0.043158997519,4197,-0.101830698603,-0.102736260337,0.230083633179,0.698382091239,0.0137015978408,0.0341807671635,0.949243134679,0.949130474028,0.238967230025,0.225265632184
random_full,question_parity,False,10000,taxguessmain,366596,367666,0.00117586580275,0.023780724982,0.0242208334523,4197,-0.106827975143,-0.106137994229,0.0310655095576,0.033122378187,0.0241432737899,0.752655366978,0.126100516116,0.126087380411,0.0281186088311,0.00397533504119
random_full,question_parity,False,10000,taxguessds,366596,367666,0.0355732973381,-0.00492090336474,0.043158997519,4197,-0.101830698603,-0.102736260337,0.230083633179,0.698382091239,0.0137015978408,0.0341807671635,0.949243134679,0.949130474028,0.238967230025,0.225265632184
